prompt_index,image_path,imagereward_score
1,../HiDream-I1/output/full/image_1.png,1.667941689491272
1,../HiDream-I1/output/full/image_2.png,1.5625181198120117
1,../HiDream-I1/output/full/image_3.png,1.6193950176239014
1,../HiDream-I1/output/full/image_4.png,1.4638410806655884
2,../HiDream-I1/output/full/image_5.png,1.7338825464248657
2,../HiDream-I1/output/full/image_6.png,1.731386423110962
2,../HiDream-I1/output/full/image_7.png,1.7224940061569214
2,../HiDream-I1/output/full/image_8.png,1.701472520828247
3,../HiDream-I1/output/full/image_9.png,1.6172502040863037
3,../HiDream-I1/output/full/image_10.png,1.4575932025909424
3,../HiDream-I1/output/full/image_11.png,1.712133526802063
3,../HiDream-I1/output/full/image_12.png,1.5269145965576172
4,../HiDream-I1/output/full/image_13.png,0.6627522110939026
4,../HiDream-I1/output/full/image_14.png,0.759469747543335
4,../HiDream-I1/output/full/image_15.png,0.43976250290870667
4,../HiDream-I1/output/full/image_16.png,0.49350738525390625
5,../HiDream-I1/output/full/image_17.png,1.7481895685195923
5,../HiDream-I1/output/full/image_18.png,1.2037463188171387
5,../HiDream-I1/output/full/image_19.png,1.446059226989746
5,../HiDream-I1/output/full/image_20.png,1.7506232261657715
6,../HiDream-I1/output/full/image_21.png,0.3819708824157715
6,../HiDream-I1/output/full/image_22.png,0.2610660195350647
6,../HiDream-I1/output/full/image_23.png,0.5283018350601196
6,../HiDream-I1/output/full/image_24.png,0.8948106169700623
7,../HiDream-I1/output/full/image_25.png,1.3603620529174805
7,../HiDream-I1/output/full/image_26.png,1.5090742111206055
7,../HiDream-I1/output/full/image_27.png,1.1049082279205322
7,../HiDream-I1/output/full/image_28.png,1.6158159971237183
8,../HiDream-I1/output/full/image_29.png,1.021712064743042
8,../HiDream-I1/output/full/image_30.png,0.9173424243927002
8,../HiDream-I1/output/full/image_31.png,0.4438396096229553
8,../HiDream-I1/output/full/image_32.png,0.8155913352966309
9,../HiDream-I1/output/full/image_33.png,1.4011785984039307
9,../HiDream-I1/output/full/image_34.png,1.3284116983413696
9,../HiDream-I1/output/full/image_35.png,0.973497211933136
9,../HiDream-I1/output/full/image_36.png,0.8172070384025574
10,../HiDream-I1/output/full/image_37.png,1.667941689491272
10,../HiDream-I1/output/full/image_38.png,1.5625181198120117
10,../HiDream-I1/output/full/image_39.png,1.6193950176239014
10,../HiDream-I1/output/full/image_40.png,1.4638410806655884
11,../HiDream-I1/output/full/image_41.png,0.9232463836669922
11,../HiDream-I1/output/full/image_42.png,1.1316659450531006
11,../HiDream-I1/output/full/image_43.png,0.9790824055671692
11,../HiDream-I1/output/full/image_44.png,1.1957021951675415
12,../HiDream-I1/output/full/image_45.png,1.2292488813400269
12,../HiDream-I1/output/full/image_46.png,0.6176301836967468
12,../HiDream-I1/output/full/image_47.png,0.6202988624572754
12,../HiDream-I1/output/full/image_48.png,0.9828529357910156
13,../HiDream-I1/output/full/image_49.png,1.7653781175613403
13,../HiDream-I1/output/full/image_50.png,1.8275681734085083
13,../HiDream-I1/output/full/image_51.png,1.8075528144836426
13,../HiDream-I1/output/full/image_52.png,1.8077939748764038
