prompt_index,image_path,hps_score
30,../HiDream-I1/output/full/image_119.png,0.35276455
30,../HiDream-I1/output/full/image_120.png,0.348776
31,../HiDream-I1/output/full/image_121.png,0.27231827
31,../HiDream-I1/output/full/image_122.png,0.28540826
31,../HiDream-I1/output/full/image_123.png,0.2810989
31,../HiDream-I1/output/full/image_124.png,0.28463355
32,../HiDream-I1/output/full/image_125.png,0.26283905
32,../HiDream-I1/output/full/image_126.png,0.25993142
32,../HiDream-I1/output/full/image_127.png,0.24427493
32,../HiDream-I1/output/full/image_128.png,0.26984328
33,../HiDream-I1/output/full/image_129.png,0.29127616
33,../HiDream-I1/output/full/image_130.png,0.29740232
33,../HiDream-I1/output/full/image_131.png,0.29516843
33,../HiDream-I1/output/full/image_132.png,0.28990728
34,../HiDream-I1/output/full/image_133.png,0.27870107
34,../HiDream-I1/output/full/image_134.png,0.2963531
34,../HiDream-I1/output/full/image_135.png,0.30904418
34,../HiDream-I1/output/full/image_136.png,0.3066649
35,../HiDream-I1/output/full/image_137.png,0.28081512
35,../HiDream-I1/output/full/image_138.png,0.28175235
35,../HiDream-I1/output/full/image_139.png,0.29945374
35,../HiDream-I1/output/full/image_140.png,0.2857197
36,../HiDream-I1/output/full/image_141.png,0.32056466
36,../HiDream-I1/output/full/image_142.png,0.3043328
36,../HiDream-I1/output/full/image_143.png,0.3102584
36,../HiDream-I1/output/full/image_144.png,0.32090423
37,../HiDream-I1/output/full/image_145.png,0.3293315
37,../HiDream-I1/output/full/image_146.png,0.3018344
37,../HiDream-I1/output/full/image_147.png,0.31802964
37,../HiDream-I1/output/full/image_148.png,0.31795144
38,../HiDream-I1/output/full/image_149.png,0.23377949
38,../HiDream-I1/output/full/image_150.png,0.22408499
38,../HiDream-I1/output/full/image_151.png,0.23092264
38,../HiDream-I1/output/full/image_152.png,0.23942918
39,../HiDream-I1/output/full/image_153.png,0.23852575
39,../HiDream-I1/output/full/image_154.png,0.26642132
39,../HiDream-I1/output/full/image_155.png,0.26239094
39,../HiDream-I1/output/full/image_156.png,0.26018968
40,../HiDream-I1/output/full/image_157.png,0.21659054
40,../HiDream-I1/output/full/image_158.png,0.2143542
40,../HiDream-I1/output/full/image_159.png,0.20166306
40,../HiDream-I1/output/full/image_160.png,0.20963004
41,../HiDream-I1/output/full/image_161.png,0.30236033
41,../HiDream-I1/output/full/image_162.png,0.30118245
41,../HiDream-I1/output/full/image_163.png,0.32497838
41,../HiDream-I1/output/full/image_164.png,0.31187025
42,../HiDream-I1/output/full/image_165.png,0.29155734
42,../HiDream-I1/output/full/image_166.png,0.3202464
42,../HiDream-I1/output/full/image_167.png,0.30915847
42,../HiDream-I1/output/full/image_168.png,0.3000614
43,../HiDream-I1/output/full/image_169.png,0.29507613
43,../HiDream-I1/output/full/image_170.png,0.35267523
43,../HiDream-I1/output/full/image_171.png,0.3215504
43,../HiDream-I1/output/full/image_172.png,0.32876834
44,../HiDream-I1/output/full/image_173.png,0.31097007
44,../HiDream-I1/output/full/image_174.png,0.31648135
44,../HiDream-I1/output/full/image_175.png,0.31501985
44,../HiDream-I1/output/full/image_176.png,0.32829553
45,../HiDream-I1/output/full/image_177.png,0.29749906
45,../HiDream-I1/output/full/image_178.png,0.28409863
45,../HiDream-I1/output/full/image_179.png,0.2795867
45,../HiDream-I1/output/full/image_180.png,0.2984043
46,../HiDream-I1/output/full/image_181.png,0.3233487
46,../HiDream-I1/output/full/image_182.png,0.3290036
46,../HiDream-I1/output/full/image_183.png,0.34201756
46,../HiDream-I1/output/full/image_184.png,0.3459187
47,../HiDream-I1/output/full/image_185.png,0.3316923
47,../HiDream-I1/output/full/image_186.png,0.3218393
47,../HiDream-I1/output/full/image_187.png,0.33476058
47,../HiDream-I1/output/full/image_188.png,0.33300796
48,../HiDream-I1/output/full/image_189.png,0.37866452
48,../HiDream-I1/output/full/image_190.png,0.37560427
48,../HiDream-I1/output/full/image_191.png,0.37700772
48,../HiDream-I1/output/full/image_192.png,0.3738894
49,../HiDream-I1/output/full/image_193.png,0.3475928
49,../HiDream-I1/output/full/image_194.png,0.33496526
49,../HiDream-I1/output/full/image_195.png,0.3511075
49,../HiDream-I1/output/full/image_196.png,0.35507083
50,../HiDream-I1/output/full/image_197.png,0.33028924
50,../HiDream-I1/output/full/image_198.png,0.35098118
50,../HiDream-I1/output/full/image_199.png,0.3269631
50,../HiDream-I1/output/full/image_200.png,0.3426187
51,../HiDream-I1/output/full/image_201.png,0.3870652
51,../HiDream-I1/output/full/image_202.png,0.38721153
51,../HiDream-I1/output/full/image_203.png,0.37609017
51,../HiDream-I1/output/full/image_204.png,0.37970492
52,../HiDream-I1/output/full/image_205.png,0.31912804
52,../HiDream-I1/output/full/image_206.png,0.28870574
52,../HiDream-I1/output/full/image_207.png,0.32051405
52,../HiDream-I1/output/full/image_208.png,0.3139368
53,../HiDream-I1/output/full/image_209.png,0.30043784
53,../HiDream-I1/output/full/image_210.png,0.29140124
53,../HiDream-I1/output/full/image_211.png,0.2961424
53,../HiDream-I1/output/full/image_212.png,0.2973142
54,../HiDream-I1/output/full/image_213.png,0.29899
54,../HiDream-I1/output/full/image_214.png,0.3163934
54,../HiDream-I1/output/full/image_215.png,0.31309545
54,../HiDream-I1/output/full/image_216.png,0.29787135
55,../HiDream-I1/output/full/image_217.png,0.35950583
55,../HiDream-I1/output/full/image_218.png,0.34416837
55,../HiDream-I1/output/full/image_219.png,0.35582078
55,../HiDream-I1/output/full/image_220.png,0.34908515
56,../HiDream-I1/output/full/image_221.png,0.31941926
56,../HiDream-I1/output/full/image_222.png,0.33184248
56,../HiDream-I1/output/full/image_223.png,0.34527242
56,../HiDream-I1/output/full/image_224.png,0.29577807
57,../HiDream-I1/output/full/image_225.png,0.2923833
57,../HiDream-I1/output/full/image_226.png,0.2978487
57,../HiDream-I1/output/full/image_227.png,0.288899
57,../HiDream-I1/output/full/image_228.png,0.28682053
58,../HiDream-I1/output/full/image_229.png,0.33721218
58,../HiDream-I1/output/full/image_230.png,0.31289318
58,../HiDream-I1/output/full/image_231.png,0.32657635
58,../HiDream-I1/output/full/image_232.png,0.32227054
59,../HiDream-I1/output/full/image_233.png,0.36055088
59,../HiDream-I1/output/full/image_234.png,0.35552302
59,../HiDream-I1/output/full/image_235.png,0.36057776
59,../HiDream-I1/output/full/image_236.png,0.3478806
60,../HiDream-I1/output/full/image_237.png,0.2877551
60,../HiDream-I1/output/full/image_238.png,0.30274335
60,../HiDream-I1/output/full/image_239.png,0.30994433
60,../HiDream-I1/output/full/image_240.png,0.31261113
61,../HiDream-I1/output/full/image_241.png,0.36884576
61,../HiDream-I1/output/full/image_242.png,0.37540585
61,../HiDream-I1/output/full/image_243.png,0.36172134
61,../HiDream-I1/output/full/image_244.png,0.3626406
62,../HiDream-I1/output/full/image_245.png,0.35084513
62,../HiDream-I1/output/full/image_246.png,0.3314165
62,../HiDream-I1/output/full/image_247.png,0.3591111
62,../HiDream-I1/output/full/image_248.png,0.33329687
63,../HiDream-I1/output/full/image_249.png,0.34065753
63,../HiDream-I1/output/full/image_250.png,0.33286884
63,../HiDream-I1/output/full/image_251.png,0.32755697
63,../HiDream-I1/output/full/image_252.png,0.33099395
64,../HiDream-I1/output/full/image_253.png,0.33230788
64,../HiDream-I1/output/full/image_254.png,0.3268464
64,../HiDream-I1/output/full/image_255.png,0.33092788
64,../HiDream-I1/output/full/image_256.png,0.33414483
65,../HiDream-I1/output/full/image_257.png,0.34179446
65,../HiDream-I1/output/full/image_258.png,0.34431273
65,../HiDream-I1/output/full/image_259.png,0.326873
65,../HiDream-I1/output/full/image_260.png,0.35083565
66,../HiDream-I1/output/full/image_261.png,0.3516141
66,../HiDream-I1/output/full/image_262.png,0.35657227
66,../HiDream-I1/output/full/image_263.png,0.3517921
66,../HiDream-I1/output/full/image_264.png,0.3565861
67,../HiDream-I1/output/full/image_265.png,0.31562784
67,../HiDream-I1/output/full/image_266.png,0.32550463
67,../HiDream-I1/output/full/image_267.png,0.3038605
67,../HiDream-I1/output/full/image_268.png,0.31719542
68,../HiDream-I1/output/full/image_269.png,0.35821268
68,../HiDream-I1/output/full/image_270.png,0.32278773
68,../HiDream-I1/output/full/image_271.png,0.35729048
68,../HiDream-I1/output/full/image_272.png,0.3413558
69,../HiDream-I1/output/full/image_273.png,0.32877287
69,../HiDream-I1/output/full/image_274.png,0.34147838
69,../HiDream-I1/output/full/image_275.png,0.33442968
69,../HiDream-I1/output/full/image_276.png,0.3338183
70,../HiDream-I1/output/full/image_277.png,0.28653285
70,../HiDream-I1/output/full/image_278.png,0.3031345
70,../HiDream-I1/output/full/image_279.png,0.27748087
70,../HiDream-I1/output/full/image_280.png,0.29648095
71,../HiDream-I1/output/full/image_281.png,0.33213902
71,../HiDream-I1/output/full/image_282.png,0.31276867
71,../HiDream-I1/output/full/image_283.png,0.3536977
71,../HiDream-I1/output/full/image_284.png,0.34334388
72,../HiDream-I1/output/full/image_285.png,0.33716458
72,../HiDream-I1/output/full/image_286.png,0.33600518
72,../HiDream-I1/output/full/image_287.png,0.3401644
72,../HiDream-I1/output/full/image_288.png,0.32082957
73,../HiDream-I1/output/full/image_289.png,0.2923838
73,../HiDream-I1/output/full/image_290.png,0.30404744
73,../HiDream-I1/output/full/image_291.png,0.3019246
73,../HiDream-I1/output/full/image_292.png,0.30087146
74,../HiDream-I1/output/full/image_293.png,0.31389663
74,../HiDream-I1/output/full/image_294.png,0.29972646
74,../HiDream-I1/output/full/image_295.png,0.30656978
74,../HiDream-I1/output/full/image_296.png,0.30366027
75,../HiDream-I1/output/full/image_297.png,0.35056517
75,../HiDream-I1/output/full/image_298.png,0.3442926
75,../HiDream-I1/output/full/image_299.png,0.34694576
75,../HiDream-I1/output/full/image_300.png,0.35419482
76,../HiDream-I1/output/full/image_301.png,0.3010513
76,../HiDream-I1/output/full/image_302.png,0.29645783
76,../HiDream-I1/output/full/image_303.png,0.32114813
76,../HiDream-I1/output/full/image_304.png,0.30690536
77,../HiDream-I1/output/full/image_305.png,0.36771888
77,../HiDream-I1/output/full/image_306.png,0.35971126
77,../HiDream-I1/output/full/image_307.png,0.35908657
77,../HiDream-I1/output/full/image_308.png,0.359658
78,../HiDream-I1/output/full/image_309.png,0.27129203
78,../HiDream-I1/output/full/image_310.png,0.25699565
78,../HiDream-I1/output/full/image_311.png,0.28968418
78,../HiDream-I1/output/full/image_312.png,0.25487158
79,../HiDream-I1/output/full/image_313.png,0.2964003
79,../HiDream-I1/output/full/image_314.png,0.3066449
79,../HiDream-I1/output/full/image_315.png,0.30570328
79,../HiDream-I1/output/full/image_316.png,0.3003131
80,../HiDream-I1/output/full/image_317.png,0.33150923
80,../HiDream-I1/output/full/image_318.png,0.31133384
80,../HiDream-I1/output/full/image_319.png,0.34500024
80,../HiDream-I1/output/full/image_320.png,0.32944024
81,../HiDream-I1/output/full/image_321.png,0.28751996
81,../HiDream-I1/output/full/image_322.png,0.2730185
81,../HiDream-I1/output/full/image_323.png,0.2835231
81,../HiDream-I1/output/full/image_324.png,0.29714474
82,../HiDream-I1/output/full/image_325.png,0.28209475
82,../HiDream-I1/output/full/image_326.png,0.27688575
82,../HiDream-I1/output/full/image_327.png,0.28606242
82,../HiDream-I1/output/full/image_328.png,0.27649418
83,../HiDream-I1/output/full/image_329.png,0.329841
83,../HiDream-I1/output/full/image_330.png,0.32977438
83,../HiDream-I1/output/full/image_331.png,0.33871594
83,../HiDream-I1/output/full/image_332.png,0.31823206
84,../HiDream-I1/output/full/image_333.png,0.3483437
84,../HiDream-I1/output/full/image_334.png,0.337034
84,../HiDream-I1/output/full/image_335.png,0.34986085
84,../HiDream-I1/output/full/image_336.png,0.34123588
85,../HiDream-I1/output/full/image_337.png,0.3224863
85,../HiDream-I1/output/full/image_338.png,0.29203773
85,../HiDream-I1/output/full/image_339.png,0.29668614
85,../HiDream-I1/output/full/image_340.png,0.3150583
86,../HiDream-I1/output/full/image_341.png,0.27635026
86,../HiDream-I1/output/full/image_342.png,0.28979194
86,../HiDream-I1/output/full/image_343.png,0.29993656
86,../HiDream-I1/output/full/image_344.png,0.292844
87,../HiDream-I1/output/full/image_345.png,0.22766636
87,../HiDream-I1/output/full/image_346.png,0.19074087
87,../HiDream-I1/output/full/image_347.png,0.20000543
87,../HiDream-I1/output/full/image_348.png,0.2097418
88,../HiDream-I1/output/full/image_349.png,0.3464059
88,../HiDream-I1/output/full/image_350.png,0.22822326
88,../HiDream-I1/output/full/image_351.png,0.34162325
88,../HiDream-I1/output/full/image_352.png,0.3514313
89,../HiDream-I1/output/full/image_353.png,0.2781818
89,../HiDream-I1/output/full/image_354.png,0.28139165
89,../HiDream-I1/output/full/image_355.png,0.28813896
89,../HiDream-I1/output/full/image_356.png,0.2842199
90,../HiDream-I1/output/full/image_357.png,0.28859052
90,../HiDream-I1/output/full/image_358.png,0.27278596
90,../HiDream-I1/output/full/image_359.png,0.2923199
90,../HiDream-I1/output/full/image_360.png,0.29282057
91,../HiDream-I1/output/full/image_361.png,0.34819108
91,../HiDream-I1/output/full/image_362.png,0.3179453
91,../HiDream-I1/output/full/image_363.png,0.3518137
91,../HiDream-I1/output/full/image_364.png,0.32710415
92,../HiDream-I1/output/full/image_365.png,0.33792412
92,../HiDream-I1/output/full/image_366.png,0.3458837
92,../HiDream-I1/output/full/image_367.png,0.3504903
92,../HiDream-I1/output/full/image_368.png,0.36584115
93,../HiDream-I1/output/full/image_369.png,0.26784986
93,../HiDream-I1/output/full/image_370.png,0.27728277
93,../HiDream-I1/output/full/image_371.png,0.27144963
93,../HiDream-I1/output/full/image_372.png,0.26908752
94,../HiDream-I1/output/full/image_373.png,0.34569085
94,../HiDream-I1/output/full/image_374.png,0.3556072
94,../HiDream-I1/output/full/image_375.png,0.34794262
94,../HiDream-I1/output/full/image_376.png,0.3479149
95,../HiDream-I1/output/full/image_377.png,0.3184789
95,../HiDream-I1/output/full/image_378.png,0.3098623
95,../HiDream-I1/output/full/image_379.png,0.32192877
95,../HiDream-I1/output/full/image_380.png,0.3017507
96,../HiDream-I1/output/full/image_381.png,0.34662002
96,../HiDream-I1/output/full/image_382.png,0.35168004
96,../HiDream-I1/output/full/image_383.png,0.33401266
96,../HiDream-I1/output/full/image_384.png,0.35279483
97,../HiDream-I1/output/full/image_385.png,0.35464975
97,../HiDream-I1/output/full/image_386.png,0.36352476
97,../HiDream-I1/output/full/image_387.png,0.35102323
97,../HiDream-I1/output/full/image_388.png,0.3374079
98,../HiDream-I1/output/full/image_389.png,0.3562497
98,../HiDream-I1/output/full/image_390.png,0.35358512
98,../HiDream-I1/output/full/image_391.png,0.34590468
98,../HiDream-I1/output/full/image_392.png,0.36186594
99,../HiDream-I1/output/full/image_393.png,0.33784974
99,../HiDream-I1/output/full/image_394.png,0.29789907
99,../HiDream-I1/output/full/image_395.png,0.32330889
99,../HiDream-I1/output/full/image_396.png,0.33528703
100,../HiDream-I1/output/full/image_397.png,0.32367092
100,../HiDream-I1/output/full/image_398.png,0.31436867
100,../HiDream-I1/output/full/image_399.png,0.32761496
100,../HiDream-I1/output/full/image_400.png,0.32522193
101,../HiDream-I1/output/full/image_401.png,0.27861696
101,../HiDream-I1/output/full/image_402.png,0.32081124
101,../HiDream-I1/output/full/image_403.png,0.31430045
101,../HiDream-I1/output/full/image_404.png,0.2922821
102,../HiDream-I1/output/full/image_405.png,0.35411248
102,../HiDream-I1/output/full/image_406.png,0.30983657
102,../HiDream-I1/output/full/image_407.png,0.35150552
102,../HiDream-I1/output/full/image_408.png,0.37081409
103,../HiDream-I1/output/full/image_409.png,0.3671104
103,../HiDream-I1/output/full/image_410.png,0.36466002
103,../HiDream-I1/output/full/image_411.png,0.36075407
103,../HiDream-I1/output/full/image_412.png,0.36970818
104,../HiDream-I1/output/full/image_413.png,0.3053526
104,../HiDream-I1/output/full/image_414.png,0.29106224
104,../HiDream-I1/output/full/image_415.png,0.2924955
104,../HiDream-I1/output/full/image_416.png,0.29285073
105,../HiDream-I1/output/full/image_417.png,0.33136156
105,../HiDream-I1/output/full/image_418.png,0.31790048
105,../HiDream-I1/output/full/image_419.png,0.3169048
105,../HiDream-I1/output/full/image_420.png,0.3180718
106,../HiDream-I1/output/full/image_421.png,0.36941954
106,../HiDream-I1/output/full/image_422.png,0.3761918
106,../HiDream-I1/output/full/image_423.png,0.3751496
106,../HiDream-I1/output/full/image_424.png,0.36820018
107,../HiDream-I1/output/full/image_425.png,0.325544
