prompt_index,image_path,pickscore_score
31,../HiDream-I1/output/full/image_123.png,21.722466
31,../HiDream-I1/output/full/image_124.png,22.71411
32,../HiDream-I1/output/full/image_125.png,22.449997
32,../HiDream-I1/output/full/image_126.png,21.679873
32,../HiDream-I1/output/full/image_127.png,21.831425
32,../HiDream-I1/output/full/image_128.png,21.991735
33,../HiDream-I1/output/full/image_129.png,21.81021
33,../HiDream-I1/output/full/image_130.png,22.065899
33,../HiDream-I1/output/full/image_131.png,21.75252
33,../HiDream-I1/output/full/image_132.png,21.883718
34,../HiDream-I1/output/full/image_133.png,23.125612
34,../HiDream-I1/output/full/image_134.png,23.314724
34,../HiDream-I1/output/full/image_135.png,23.522749
34,../HiDream-I1/output/full/image_136.png,23.697157
35,../HiDream-I1/output/full/image_137.png,21.363308
35,../HiDream-I1/output/full/image_138.png,21.459784
35,../HiDream-I1/output/full/image_139.png,22.384306
35,../HiDream-I1/output/full/image_140.png,21.535952
36,../HiDream-I1/output/full/image_141.png,24.897444
36,../HiDream-I1/output/full/image_142.png,24.984093
36,../HiDream-I1/output/full/image_143.png,24.52094
36,../HiDream-I1/output/full/image_144.png,25.333174
37,../HiDream-I1/output/full/image_145.png,25.487501
37,../HiDream-I1/output/full/image_146.png,24.611927
37,../HiDream-I1/output/full/image_147.png,25.555265
37,../HiDream-I1/output/full/image_148.png,25.61427
38,../HiDream-I1/output/full/image_149.png,22.220463
38,../HiDream-I1/output/full/image_150.png,21.789621
38,../HiDream-I1/output/full/image_151.png,21.89245
38,../HiDream-I1/output/full/image_152.png,22.441122
39,../HiDream-I1/output/full/image_153.png,20.339066
39,../HiDream-I1/output/full/image_154.png,21.565834
39,../HiDream-I1/output/full/image_155.png,21.17754
39,../HiDream-I1/output/full/image_156.png,21.071184
40,../HiDream-I1/output/full/image_157.png,20.436617
40,../HiDream-I1/output/full/image_158.png,20.291855
40,../HiDream-I1/output/full/image_159.png,20.142881
40,../HiDream-I1/output/full/image_160.png,20.215502
41,../HiDream-I1/output/full/image_161.png,22.912958
41,../HiDream-I1/output/full/image_162.png,23.05538
41,../HiDream-I1/output/full/image_163.png,23.477646
41,../HiDream-I1/output/full/image_164.png,22.896137
42,../HiDream-I1/output/full/image_165.png,23.6196
42,../HiDream-I1/output/full/image_166.png,23.603088
42,../HiDream-I1/output/full/image_167.png,23.930202
42,../HiDream-I1/output/full/image_168.png,23.862627
43,../HiDream-I1/output/full/image_169.png,24.74128
43,../HiDream-I1/output/full/image_170.png,25.133644
43,../HiDream-I1/output/full/image_171.png,24.86863
43,../HiDream-I1/output/full/image_172.png,24.79435
44,../HiDream-I1/output/full/image_173.png,23.370413
44,../HiDream-I1/output/full/image_174.png,23.44601
44,../HiDream-I1/output/full/image_175.png,23.323517
44,../HiDream-I1/output/full/image_176.png,23.24304
45,../HiDream-I1/output/full/image_177.png,23.065582
45,../HiDream-I1/output/full/image_178.png,22.626709
45,../HiDream-I1/output/full/image_179.png,22.701498
45,../HiDream-I1/output/full/image_180.png,22.774075
46,../HiDream-I1/output/full/image_181.png,23.615725
46,../HiDream-I1/output/full/image_182.png,23.068668
46,../HiDream-I1/output/full/image_183.png,23.489677
46,../HiDream-I1/output/full/image_184.png,24.003067
47,../HiDream-I1/output/full/image_185.png,20.919357
47,../HiDream-I1/output/full/image_186.png,20.591635
47,../HiDream-I1/output/full/image_187.png,21.156391
47,../HiDream-I1/output/full/image_188.png,20.811983
48,../HiDream-I1/output/full/image_189.png,25.808617
48,../HiDream-I1/output/full/image_190.png,25.088392
48,../HiDream-I1/output/full/image_191.png,25.734104
48,../HiDream-I1/output/full/image_192.png,25.6835
49,../HiDream-I1/output/full/image_193.png,24.65911
49,../HiDream-I1/output/full/image_194.png,23.710644
49,../HiDream-I1/output/full/image_195.png,24.499447
49,../HiDream-I1/output/full/image_196.png,24.299925
50,../HiDream-I1/output/full/image_197.png,23.67398
50,../HiDream-I1/output/full/image_198.png,24.898005
50,../HiDream-I1/output/full/image_199.png,23.900377
50,../HiDream-I1/output/full/image_200.png,23.639753
51,../HiDream-I1/output/full/image_201.png,24.218311
51,../HiDream-I1/output/full/image_202.png,24.384098
51,../HiDream-I1/output/full/image_203.png,24.055414
51,../HiDream-I1/output/full/image_204.png,23.957712
52,../HiDream-I1/output/full/image_205.png,22.4656
52,../HiDream-I1/output/full/image_206.png,22.403112
52,../HiDream-I1/output/full/image_207.png,22.949116
52,../HiDream-I1/output/full/image_208.png,22.487583
53,../HiDream-I1/output/full/image_209.png,21.690983
53,../HiDream-I1/output/full/image_210.png,21.791218
53,../HiDream-I1/output/full/image_211.png,21.828384
53,../HiDream-I1/output/full/image_212.png,21.183292
54,../HiDream-I1/output/full/image_213.png,21.367117
54,../HiDream-I1/output/full/image_214.png,21.442762
54,../HiDream-I1/output/full/image_215.png,21.385185
54,../HiDream-I1/output/full/image_216.png,21.77933
55,../HiDream-I1/output/full/image_217.png,23.884071
55,../HiDream-I1/output/full/image_218.png,23.913887
55,../HiDream-I1/output/full/image_219.png,24.008972
55,../HiDream-I1/output/full/image_220.png,23.925402
56,../HiDream-I1/output/full/image_221.png,22.702616
56,../HiDream-I1/output/full/image_222.png,22.9149
56,../HiDream-I1/output/full/image_223.png,22.81903
56,../HiDream-I1/output/full/image_224.png,21.994886
57,../HiDream-I1/output/full/image_225.png,20.401396
57,../HiDream-I1/output/full/image_226.png,20.447643
57,../HiDream-I1/output/full/image_227.png,20.399364
57,../HiDream-I1/output/full/image_228.png,20.264362
58,../HiDream-I1/output/full/image_229.png,22.351837
58,../HiDream-I1/output/full/image_230.png,21.86989
58,../HiDream-I1/output/full/image_231.png,21.988493
